run_id,seed,train_mean_objective_return,train_survival_rate,train_mean_final_energy,eval_mean_objective_return,eval_survival_rate,eval_mean_final_energy,eval_final_energy_std,eval_mean_survivor_energy,eval_mean_failure_energy
A,101,-1.1333256567678962,0.4268,-1.1333256567678962,9.117184603712532,0.46,9.117184603712532,32.422202131129865,42.34225746057261,-19.18565523731643
A,202,-2.019457927482537,0.4158,-2.019457927482537,9.140245514965656,0.472,9.140245514965656,31.105169053986298,40.46290109741653,-18.86031023298285
A,303,-1.6505625414120055,0.4168,-1.6505625414120055,8.602528191720022,0.466,8.602528191720022,32.034611549230185,40.827791420089284,-19.519143464497347
A,404,-1.9547695780303918,0.407,-1.9547695780303918,7.595053336572231,0.45,7.595053336572231,31.75195125142696,40.58551186591527,-19.39714000561753
A,505,-1.8903136544735097,0.4222,-1.8903136544735097,9.01758556833497,0.468,9.01758556833497,32.3846304284715,41.57680053071837,-19.62473135346095
B,101,-0.8425358716864357,0.4232,-0.8425358716864357,8.49994393440491,0.442,8.49994393440491,32.07681381555627,42.62677891194771,-18.53242355676698
B,202,-1.5962177531167927,0.4244,-1.5962177531167927,8.204374153233084,0.444,8.204374153233084,31.719475597835874,41.73792599639745,-18.574217606416166
B,303,-1.6160430968207824,0.412,-1.6160430968207824,8.673636937880238,0.46,8.673636937880238,32.156781942762024,41.521501516722495,-19.307877332985385
B,404,-1.6957370525687485,0.4144,-1.6957370525687485,8.092645701530397,0.46,8.092645701530397,31.05144894422181,40.09515835375958,-19.168753965183345
B,505,-3.3082591689863823,0.4432,-3.3082591689863823,3.798043743470127,0.732,3.798043743470127,5.620845416695956,6.575932920023831,-3.7893252014452155
C,101,-2.524522834627119,0.4834,-2.524522834627119,3.137057670380632,0.69,3.137057670380632,6.981851354230627,6.807069175848524,-5.031677615983386
C,202,-2.4381334296979125,0.4874,-2.4381334296979125,2.289944486598153,0.666,2.289944486598153,6.842006872206341,6.085872290784959,-5.279181015163562
C,303,-3.1271851480446284,0.4706,-3.1271851480446284,2.5721230674445796,0.664,2.5721230674445796,6.767640356164384,6.35215681679277,-4.897943627695891
C,404,-2.4231282115711825,0.4944,-2.4231282115711825,2.537265848693496,0.672,2.537265848693496,6.761392370869413,6.282665264244467,-5.136235392923129
C,505,-3.0466826186424125,0.4742,-3.0466826186424125,2.773982544281227,0.662,2.773982544281227,7.0600716454623855,6.85340706847202,-5.215896257536244
D,101,-2.8214346420160794,0.476,-2.8214346420160794,2.7655085794851066,0.68,2.7655085794851066,7.01724601170245,6.601823568927065,-5.386660773079056
D,202,-2.7761207663669296,0.4654,-2.7761207663669296,2.512048417799654,0.654,2.512048417799654,6.804075851483617,6.447951705937084,-4.927491323361846
D,303,-2.769509474138914,0.4732,-2.769509474138914,2.6796992378377764,0.654,2.6796992378377764,6.897191327262918,6.662520220632342,-4.848523082242125
D,404,-2.3636465977929517,0.4802,-2.3636465977929517,2.5041430020940787,0.654,2.5041430020940787,6.861914588712794,6.49346204643041,-5.036361781131244
D,505,-2.7301006221027406,0.479,-2.7301006221027406,2.599536549141817,0.676,2.599536549141817,6.924572088236719,6.426965508912542,-5.386086836058833
